Pangasinan Word,Root Word/Lemma,English Equivalent,Part of Speech (POS) Tag
sampál,sampál,to slap especially on the face,V
sampálan,sampálan,long pillow,NOUN
sampat,sampat,catch,V
samper,samper,"protection, cover, shield",NOUN
samperóan,samperóan,the game of hide and seek,NOUN
sampet,sampet,debris,NOUN
sampiga,sampiga,how much,"ADJ, V"
samplo,samplo,ten,NUM
sampló,sampló,island,NOUN
samplóra,samplóra,number ten,NUM
sampolánggit,sampolánggit,word used to describe a far-away place,ADJ
sampót,sampót,end,NOUN
sampút,sampút,"end, tip, limit, conclusion, last one",ADJ
samsam,samsam,"grab, seize, snatch, catch, capture",V
samsám,samsám,"to seize, appropriate another's property, snatch from another's hands",V
samsamping,samsamping,name of a leafy vegetable,NOUN
samuét,samuét,occasionally but regularly,ADV
samúyek,samúyek,crying over something trivial or unimportant,ADJ
san,tan,and,CCONJ
sananéy,sananéy,"different, distinct, someone else",ADJ
sanantónio,sanantónio,brown,ADJ
sanáy,sanáy,"someone else, well-versed, expert, experience, veteran",ADJ
sanáysay,sanáysay,"proverb, saying",NOUN
sandal,sandal,"sandal, slipper",NOUN
sandalya,sandalya,"sandal, slipper",NOUN
sandepá,sandepá,a measure of length and of depth,NOUN
sandi,sandi,"take the place of, replace, substitute",V
sandia,sandia,watermelon,NOUN
sanéb,sanéb,ambush,NOUN
sanén,sanén,"on, last",ADV
sanéngseng,sanéngseng,"buzzing, humming, hissing sound caused by the wind",ADJ
sanéwsew,sanéwsew,"hooting, whining, whirring, whistling sound",ADJ
sangá,sangá,branch,NOUN
sañgá,sañgá,"branch of tree, stalk of plant, stem",NOUN
sáñga,sáñga,carpenter's square,NOUN
sañgáb,sañgáb,"edge, mouth, opening",NOUN
sañgában,sañgában,"crossing, junction",NOUN
sañgál,sañgál,"to weave two twines, cords,  together",V
sañgápsañgáp,sañgápsañgáp,"rough, impolite, ill-prepared, informal, entry",ADJ
sangát,sangát,to ascend steps or any slight elevation,V
sangga,sangga,"cover, protect, defend, shield",V
sanggá,sanggá,to parry a blow,V
sanggol,sanggol,arm wrestling,NOUN
sanggúok,sanggúok,snore,NOUN
sangí,sangí,mouth,NOUN
sangkáp,sangkáp,dust pan,NOUN
sangkarangan,sangkarangan,span,NOUN
sangkatalonggáringan,sangkatalonggáringan,"excellent, outstanding",ADJ
sangkot,sangkot,"involvement, entanglement, participation",NOUN
sangláy,sangláy,Chinese,NOUN
sanglil,sanglil,to fry,V
sangpara,sangpara,"against, opposite",X
sangper,sangper,"ward off, protect, defend, hinder",V
sangpot,sangpot,"tip, end, limit",NOUN
sangpót,sangpót,"end, conclusion",NOUN
sangsang,sangsang,"to argue, to debate, to question",V
sangsáng,sangsáng,"to discuss something, debate, argue",V
sangsáñgan,sangsáñgan,"debate, argument, altercation, disputation",NOUN
saníb,saníb,"shelter, disguise, screen, protection",NOUN
saníban,saníban,"hiding place, protector",ADJ
sanináro,sanináro,sweethearts,ADJ
sanítsit,sanítsit,"hissing sound, sound caused by hot steam",NOUN
saníwsiw,saníwsiw,"whirring, whistling sound",NOUN
sankaan,sankaan,"the best, superior, mostest, superlative",ADJ
sankabirbir,sankabirbir,"noticeable, recognizable",ADJ
sankáblian,sankáblian,"most expensive, most valuable",ADJ
sankabolég,bolég,a family,NOUN
sankadampot,sankadampot,"handy, can easily be found",ADJ
sankaíli,sankaíli,"visitor, guest, alien, foreigner",NOUN
sankakirém,sankakirém,"fleeting, rapid, express, speedy",ADJ
sankamakapanyarían,sankamakapanyarían,"Almighty, most powerful",ADJ
sankamáungan,sankamáungan,the best,ADJ
sankaogsán,sankaogsán,"worst, most evil, vilest",ADJ
sankaónaan,sankaónaan,"foremost, first one",ADJ
sankaónoran,sankaónoran,"hindmost, current, latest",ADJ
sankap,sankap,dust pan,NOUN
sankapañguloán,oló,eldest child,NOUN
sankarakelan,sankarakelan,"majority, bountiful, plenteous",ADJ
sankasagrádoan,sankasagrádoan,"most holy, most sacred",ADJ
sankasántosan,sankasántosan,"holiest, most blessed, most sacred",ADJ
sankatágeyan,sankatágeyan,"highest, loftiest, summit, peak, zenith, top",ADJ
sanla,sanla,"pawn, pledge, mortgage",NOUN
sanlaán,sanlaán,pawnshop,NOUN
sanlasús,sanlasús,one-hundred,NUM
sanlégan,sanlégan,throughout,ADV
sanlibó,sanlibó,one thousand,NUM
sanlibun-laksa,sanlibun-laksa,one-million,NUM
sanó,sanó,"when, although",SCONJ
sanók,sanók,vexation,NOUN
sanpitó,pitó,seven each,ADJ
sansananéy,sansananéy,"various, diverse, disparate, assorted, miscellaneous",ADJ
sansasakéy,sakéy,one each,NUM
sanseñgég,sengég,entire plant or tree,NOUN
sansinákoban,sansinákoban,world,NOUN
sansinokobán,sokób,universe,NOUN
santa,santa,female saint,NOUN
santing,santing,"something nice and pretty, cute, petite",NOUN
santíng,santíng,pleasing aspect,NOUN
santo,santo,male saint,NOUN
sánto,sánto,saint,NOUN
santos,sánto,"saint, holy",ADJ
santós,santós,"blessed, good",ADJ
santúario,santúario,sanctuary,NOUN
sanuál,sanuál,short or long pants,NOUN
sanwawaló,waló,eight each,NUM
sapá,sapá,person fond of bargaining,NOUN
sapáan,sapáan,grille,NOUN
sapád,sapád,bunch,NOUN
sapák,sapák,"splendid, superb, magnificent",ADJ
sapál,sapál,"to sleep embracing a pillow, rolled-up blanket",V
sapáñg,sapáñg,tree used in dyeing and staining,NOUN
sapár,sapár,"cluster, bunch",NOUN
sapát,sapát,"hurdle, to climb, go up, ascend",V
sapat sapát,sapát,to mount,V
sapatá,sapatá,"promise, pledge",NOUN
sapátos,sapátos,pair of shoes,NOUN
sapaw,sapaw,overflow,ADJ
sapéy,sapéy,"longskirt, long dress",NOUN
sapí,sapí,kind of paper kite,NOUN
sapí-sapí,sapí-sapí,kite,NOUN
sapígar,sapígar,"sidewipe, brush, touch sideways",V
sapín,sapín,shoes,NOUN
sápin,sápin,saddle cloth,NOUN
sápit,sápit,"to strain, screen, filter",V
sapítan,sapítan,"strainer, filter",NOUN
sapitsapit,sapitsapit,a beautiful person,NOUN
sapli,sapli,"water spray, drops of rain scattered by the wind",NOUN
sapnót,sapnót,"not slippery, slightly sticky",ADJ
sápo,sápo,to free someone from danger or responsibility,V
sapók,sapók,"to hit, box, strike, knock, smash, demolish, shatter, break",V
sapól,sapól,to include,V
sapót,sapót,spiderweb,NOUN
sapsap,sapsap,species of edible salt-water fish,NOUN
sapsáp,sapsáp,"to chip off, rasp",V
sará,sará,"to close, shut",V
sáraan,sáraan,"close, shut, block, seal",V
sarábo,sarábo,to distribute gifts to relatives  after one has returned from a journey,V
sarádo,sarádo,"closed, finished, agreed upon",ADJ
sarág,sarág,"able, capable, effective, overcome, gain up, beat, overwhelm, luck, surmount, survive",ADJ
sarál,sarál,"to lean, balance, brace or secure something against the wall or post",V
saráng,saráng,to take a walk,V
sárang,sárang,to air clothing,V
sarásarág,sarásarág,"very capable, highly effective",ADJ
saratay,saratay,those,DET
saray,saray,plural marker,X
sáray,sáray,the,PRON
sardinas,sardinas,sardines,NOUN
saréng,saréng,"heap, stack, pile",NOUN
saretset,saretset,popping sound,NOUN
sarguelas,sarguelas,"sineguelas tree
",NOUN
sarhento,sarhento,sergeant,NOUN
sarí,sarí,breaking through,V
saríli,saríli,"id, self",NOUN
sarsiádo,sarsiádo,fried fish with special sauce,NOUN
sarsuela,sarsuela,dramatic presentation with musical arrangements,NOUN
sasá,sasá,"sound caused by felines, cats",NOUN
sásalítaen,salíta,"topic, subject",NOUN
sasalíwen,sasalíwen,"goods, merchandise to be bought, goods for sale",NOUN
sasamék,sasamék,to mix,V
sasayangen,sayáñg,is being wasted,V
saswéng,saswéng,"howl, shriek",V
sátan,sátan,that,PRON
satanás,satanás,"the devil, satan, lucifer",NOUN
satay,satay,that,DET
satín,satín,"kind of textile, satin",NOUN
satsat,satsat,"to gossip, chatter, converse, prattle, discuss",V
satsát,satsát,to unstitch,V
Saturno,Saturno,"Saturn, name of the planet",PROPN
sául,sául,"to cheat, defraud",V
saúlan,saúlan,"deception, cheat, fraudulence",NOUN
sauok,sauok,"to sift, filter, to screen out sand and other debris in order to separate gold dust and or nuggets",V
sawá,sawá,"to get tired of, satiated, having more than enough, python, a big carnivorous snake",ADJ
sawáli,sawáli,"woven bamboo stripes, bamboo slats",NOUN
sawsaw,sawsaw,"so-so, unprepared, mediocre",ADJ
sawsawán,sawsaw,sauce,NOUN
say,say,the,DET
saya,sayá,this,PRON
sayá,sayá,gaiety,NOUN
sáya,sáya,this,PRON
sayaksák,sayaksák,"be happy, in good humor",V
sayáksak,sayáksak,"joy, happiness, exhiliration",NOUN
sáyan,sáyan,this,PRON
sayang,sayang,"expression of regret, of ill-luck, what a pity",INTJ
sáyang,sáyang,"too bad, it's a pity",X
sayáp,sayáp,"type of clay cooking pot, earthen pot",NOUN
sayapar,sayapar,braid,NOUN
sayár,sayár,"to scrape bottom, run aground, drag, to become tired from heavy work, ",V
sáyara,sáyara,these,PRON
sayát,sayát,"slash, tear, cut",V
sayaw,sayaw,dance,NOUN
sayáw,sayáw,to dance,V
sayawan,sayawan,"ballroom, dancehall, dance party",NOUN
sayem,sayem,regret,NOUN
sáyo,sáyo,"to filter, screen, drain, sieve",V
sayorsór,sayorsór,kind of small fishing net,NOUN
saysáy,saysáy,"crack, fissure",NOUN
sebáng,sebáng,fly,V
sebángsebáng,sebángsebáng,"fluttering, flying to and fro, to go round and round",NOUN
sebég,sebég,"fury, quarrel, dispute",NOUN
sebégan,sebégan,"misunderstanding, quarrel, dispute, discord, altercation",NOUN
sebel,sebél,thirst,NOUN
sebél,sebél,prohibition,NOUN
sébelan,sébelan,"prevent, deprive",V
sebláñgan,sebláñgan,"fighting, quarrel, altercation",NOUN
sébo,sébo,"rendered or dry fat, tallow",NOUN
sebseb,sebseb,"douse, put off, put out, control, contain",V
secá,secá,to dig,V
sEcrEtário,sEcrEtário,secretary,NOUN
seday,seday,to comb and separate one's hair,V
sedser,sedser,plant seedlings,NOUN
sedsér,sedsér,compact,ADJ
seét,seét,"patience, persistence",NOUN
segám,segám,term used to denote one's act of clearing his throat from phlegm,NOUN
segán,segán,to cear one's throat,V
segáng,segáng,be acute,ADJ
segáp,segáp,gasp,NOUN
segát,segát,circumcision,NOUN
segáw,segáw,"shout, to raise one's voice, terror",V
segék,segék,"serious study, deep reflection",NOUN
segép,segép,"ascend, to go up",V
segkal,segkal,"thrust, prod, ram, poke",V
segsegáng,segsegáng,"misery, misfortune, derision, ridicule, scorn",NOUN
sEgúndo,sEgúndo,second ,NUM
segurádo,segurádo,"certainty, sure",NOUN
segúro,segúro,insurance,NOUN
sekáng,sekáng,crossbeam,NOUN
sekded,sekded,stiff,ADJ
sekder,sekder,stiff,ADJ
sékder,sékder,pillar,NOUN
sekretáryo,sekretáryo,secretary,NOUN
seksék,seksék,"full, crowded, jam-packed",ADJ
sekta,sekta,sect,NOUN
seláb,seláb,gaseous feeling,NOUN
seláng,seláng,out of tune,ADJ
selár,selár,act of cooking rice,NOUN
selday,selday,to comb the hair parting or establishing a line either in the center or either side of the head,V
seldet,seldet,"to pin, press, pinion",V
sElEbrár,sElEbrár,to celebrate,V
selék,selék,"set, go down",V
selékselék,selékselék,"shy, introvert",ADJ
seléng,seléng,"glance, to look fleetingly, glimpse",V
selkak,selkak,phlegm,NOUN
sélnak,sélnak,"to come out, sprout",V
selongét,selongét,"dusk, sundown",NOUN
seloñgét,seloñgét,to get dark,V
selsel,selsel,"light up, ignite",V
selselán,selselán,"to ignite, light up",V
selyo,selyo,postage stamp,NOUN
sementado,sementado,cemented,ADJ
seménto,seménto,cement,NOUN
seminário,seminário,seminary,NOUN
seminarísta,seminarísta,seminarian,NOUN
semintádo,semintádo,"concrete, cemented",ADJ
sempet,sempet,"return to go back, go home",V
sempét,sempét,"to go home, arrive",V
sEnádo,sEnádo,senate,NOUN
senadór,senadór,senator,NOUN
senék,senék,hiccups,NOUN
senér,senér,"move back, retreat, go backwards",V
señgáp,señgáp,"gasp, heavy breathing",NOUN
señgáw,señgáw,"emit, emission, leak",NOUN
sengég,sengég,"cause, tree trunk, root, principal part, rooted stem ",NOUN
sengégan,sengégan,"cause, origin",NOUN
señgegán,sengég,cause,NOUN
sengpet,sengpet,"return, go back home",V
sensasiyón,sensasiyón,sensation,NOUN
sensen,sensen,push or drive further away,V
sensitibo,sensitibo,sensitive,ADJ
sensor,sensor,"cancel, censor",V
senték,senték,thrust forcefuly,V
sentensia,sentensia,"sentence, conviction",NOUN
sentigrádo,sentigrádo,centigrade,NOUN
sentigrámo,sentigrámo,centigram,NOUN
sentimós,sentimós,centavos,NOUN
sÉntimos,sÉntimos,centavo,NOUN
sentrimétro,sentrimétro,centimeter,NOUN
sentro,sentro,center,NOUN
sépa,sépa,"to kick, infiltrate, go through",V
sepák,sepák,to strike with the hand in a quarrel ,V
sEpíllo /sEpílyo/,sEpíllo /sEpílyo/,brush,NOUN
sepsép,sepsép,"to absorb, sip, suck",V
serbésa,serbésa,beer,NOUN
serbi,serbi,"use, service",NOUN
seréna,seréna,"mermaid, siren",NOUN
serét,serét,"squeeze, press, crush with the nails or fingers",V
serguélas,serguélas,the sineguelas tree and its fruit,NOUN
serióso,serióso,serious,ADJ
sérnak,sérnak,to shine,V
sersér,sedsér,"compact, to compress",V
servicio,servicio,service,NOUN
sése,sése,dulling of edge of blade,NOUN
séseg,séseg,"patience, concern perseverance, care, attentiveness, earnestness, zealousness, zeal",NOUN
sEsÉnta,sEsÉnta,sixty,NUM
sesiyón,sesiyón,"session, meeting",NOUN
seslekán,seslekán,"sunset, west, sundown, dusk",NOUN
sEtÉnta,sEtÉnta,seventy ,NUM
setro,setro,"scepter, a holyman's long stick",NOUN
si,si,personal name marker,PRON
siabúloy,siabúloy,deference,NOUN
siac,siák,"I, me",PRON
siak,siák,"I, me",PRON
siák,ak,"I, me",PRON
siám,siám,nine,NUM
siamáplo,siám,ninety,NUM
siamirá,siamirá,nine,ADJ
sián,sián,"separate, secede",V
siansia,siansia,"just the same, stationary",ADJ
siánsia,siánsia,"still, even so, in the same state",ADV
siansian,sían,still,ADV
siápa,siápa,badge,NOUN
siatong,siatóng,a game,NOUN
sibá,sibá,"greed, avarice, gluttony",NOUN
sibañgót,sibañgót,"pout, morose or cross facial expression, frown",NOUN
síbar,síbar,"to eat, devour",V
sibawéng,sibawéng,black beetle,NOUN
sibég,sibég,"to go near, to sympathize with, console",V
sibék,sibék,palpitation,NOUN
sibérsibér,sibérsibér,"going around, roaming, flitting",V
sibil,sibil,civil,NOUN
sibkel,sibkel,"regret, repent, rue, lament",V
siblángan,siblángan,"quarrel, dispute, altercation, squabble, row, wrangle, conflict",NOUN
siblet,siblet,"greed, miserliness, selfishness",NOUN
siblét,siblét,selfish,ADJ
siblew,siblew,"hunger, longing, depravity, greed",NOUN
sibó,sibó,"to throw water, earth, grain, ",V
síbo,síbo,"rendered or dry fat, tallow",NOUN
sibóg,sibóg,cruelty,NOUN
sibók,sibók,to blow,V
sibóksíbok,sibóksíbok,balloon,NOUN
sibú,sibú,"to drench with water, throw any liquid",V
sibuág,sibuág,"throw, disseminate",V
sibuák,sibuák,"drive away, scatter",V
sibual,sibual,"throw, scatter",V
sibuláo,sibuláo,rainy season,NOUN
síbung,síbung,"newly-hatched bird, birdling",NOUN
sibúyag,sibúyag,"scatter, hurl",V
sibúyas,sibúyas,onions,NOUN
sibwág,sibwág,"to scatter (as seed), disperse",V
sída,sída,silk,NOUN
siempre,siempre,"sure, of course",ADJ
siensia,siensia,science,NOUN
sientípiko,sientípiko,scientific,ADJ
siÉtE,siÉtE,seven ,NUM
sigagálang,sigagálang,respectfully,ADV
sigarilyo,sigarilyo,cigarette,NOUN
sigay,sigay,sea shells,NOUN
sígay,sígay,to fish with a net,V
sigbat,sigbat,"hack, cut",V
sigen,sigen,annoyance,NOUN
sigénsigén,sigénsigén,de-estabilization,NOUN
sígi,sígi,okay,INTJ
siglat,siglat,"speed, quickness, velocity, agility",NOUN
siglát,siglát,"speed, promptness",NOUN
siglatán,siglatán,"quicken, rush, to speed up, hurry",V
siglot,siglot,knot,NOUN
sigpay,sigpay,"brush aside, to touch on, ward off thwart",V
sigpit,sigpit,"hairpin, enclose",NOUN
sigpot,sigpot,complete,ADJ
sigpót,sigpót,to conclude what one is saying or doing,V
sígpot,sígpot,"orphaned, having lost both parents",ADJ
sigsíg,sigsíg,to chop something into small pieces,V
siguí,siguí,"continue, go on",V
sigúro,sigúro,"sure, doubtless, perhaps, maybe",ADV
siil,siil,tie up esp. in a knot,V
siím,siím,"peep, watch, surveillance",V
siít,siít,"arrow head, thorn, spine on fish, ",NOUN
siiy,siiy,a young plant,NOUN
sika,siká,you,PRON
siká,siká,singular of you,PRON
síkal,síkal,"movement within stomach, movement of child in the womb, first stage of labor",NOUN
sikamí,sikamí,"us, we",PRON
sikamin,sikamin,"we, us",PRON
sikáñg,sikáñg,"to stretch to the limit, take a very wide stride",V
sikángkang,sikángkang,spread-eagled,ADJ
sikáp,sikáp,cunning,NOUN
sikár,sikár,walk with protruding abdomen,V
sikara,sikará,"they, them",PRON
sikará,sikará,them,PRON
síkat,síkat,polishing instrument ,NOUN
sikatá,sikatá,"both of us, you and I",PRON
sikatayó,sikatayó,"we, us",PRON
sikato,sikáto,"he, she, it",PRON
sikató,sikató,him,PRON
sikay,sikay,you,PRON
sikayó,yo,you,PRON
sikén,sikén,old,ADJ
síki,síki,difference of opinion,NOUN
şikiáw,şikiáw,"ricochet, fly out of line",V
sikíg,sikíg,touch or bump with one's elbow,V
sikil,sikil,elbow blow,V
síkil,síkil,"to elbow, to spur a horse",V
sikla,sikla,part of the leg just below the knee,NOUN
siklong,siklong,"trap, lasso",NOUN
sikmat,sikmat,"steal, filch",V
sikmát,sikmát,sudden disappearance,NOUN
sikó,sikó,elbow,NOUN
sikóg,sikóg,bump or touch with one's elbow,V
síkot,síkot,"steal, filch, swipe, grab",V
siksik,siksik,fish scales,NOUN
siksík,siksík,"scales of fish, snakes, ",NOUN
siksíkan,siksíkan,"crowded, filled up to overflowing",ADJ
sikú,sikú,elbow,NOUN
sikuwát,sikuwát,"snatch, steal, to get something surreptitiously, grab",V
sikuwél,sikuwél,any person with an abnormal elbow,NOUN
sikwát,sikwát,to lasso an animal,V
silab,silab,"burn, ignite",V
siláb,siláb,"to burn leaves, papers, ",V
silában,silában,"to ignite, cause to be burned, inflame",V
silág,silág,palm tree,NOUN
sílap,sílap,"brightness, luminousity",NOUN
silasíl,silasíl,"uneven, disorderly messy",ADJ
siléng,siléng,"splendor, brightness",NOUN
silew,sílew,light,NOUN
siléw,siléw,light,NOUN
sílewán,sílewán,"illuminate, light up",V
sili,sili,"hot pepper, chili",NOUN
síli,síli,chili pepper,NOUN
silib,silib,"cleverness, wile, wisdom, trickery",NOUN
sílib,sílib,"wisdom, wiles",NOUN
silibra,silibra,celebrate,V
silíd,silíd,living room,NOUN
silim,silim,peep,V
silip,silip,"surreptitiously watch, observe, peep",V
silíp,silíp,to peep,V
silír,silír,"room, living room",NOUN
sílo,sílo,"noose, lasso, lariat, hiccups",NOUN
silodlóor,silodlóor,to become worse,ADJ
silók,silók,"phobia, aversion, dread, revulsion, overwhelming anxiety",NOUN
silong,síloñg,"under, beneath",NOUN
síloñg,síloñg,"under, underneath, space under house, ground floor",NOUN
sílopin,sílopin,cellophane,NOUN
silót,silót,lasso,NOUN
silsil,silsil,"unstitch, untie",V
silya,silya,chair,NOUN
silyo,silyo,postage stamp,NOUN
simákbat,simákbat,forbearance,NOUN
símaw,símaw,"discover, find out",V
simba,simba,"Sunday, week",NOUN
símba,símba,"Sunday, week",NOUN
simbaán,símba,church,NOUN
simbáan,simbáan,"church, house of worship",NOUN
simbálo,simbálo,amend,V
simbang,simbang,"to weigh, to balance",V
simbangan,simbangan,weighing scale,NOUN
simbatán,simbatán,"back-talk, answer",NOUN
simbawa,simbawa,"advise, redress, reform, correct, rehabilitate, remedy, restore",V
simbolísmo,simbolísmo,symbol,NOUN
siménto,siménto,cement,NOUN
simiento,simiento,cement,NOUN
simít,simít,"bud, shoot",NOUN
simmígį,simmígį,"recurr, to become worse",V
simoón,simoón,"entire, without omission or defect",ADJ
simóon,simóon,"solemn, full, all",ADJ
simót,simót,"totally consumed, finished, devour completely",ADJ
simpat,simpat,touch,V
simpátika,simpátika,pretty beautiful,ADJ
simpatiyá,simpatiyá,sympathy,NOUN
simpenan,simpenan,storage,NOUN
simpit,simpit,modesty,NOUN
símplE,símplE,"simple, uncomplicated",ADJ
simpok,simpok,community,NOUN
símsim,símsim,"to try, taste",V
simút,simút,"totally consume, devour completely",ADJ
sinag,sinag,"ray, sunbeam, moonbeam",NOUN
sínag,sínag,"sunbeam, moonbeam, glow",NOUN
sinagém,sinagém,sadness,NOUN
sinagoga,sinagoga,"synagogue, a Jewish temple",NOUN
sinagúpa,sinagúpa,attack,V
sinákob,sinákob,cake of raw cane sugar,NOUN
sináltan,sináltan,"relieved, replaced, changed",ADJ
sinamít,sinamít,drinkable juice from buri palm,NOUN
sinampúso,póso,heart shaped,ADJ
sínan,sínan,"greed, avarice",NOUN
sináyon,sináyon,"to stay, remain",V
sindag,sindag,"glance, view, skim, ray",V
sindikáto,sindikáto,syndicate,NOUN
sinélas,sinélas,slippers,NOUN
singa,siñgá,"like, similar to",ADP
singá,singá,"identical, similar look-alike, as if",ADJ
siñgá,siñgá,"like, as, as if, similar to",ADP
singáp,singáp,asthma,NOUN
síñgáw,síñgáw,evaporation,NOUN
singáyew,singáyew,reference,NOUN
singbat,singbat,"announce, reveal",V
siñgbát,siñgbát,"debate, discuss",V
singenén,singenén,bother,V
singér,singér,"to tie up, rope, cord tether",V
siñgér,siñgér,to tie,V
síñger,síñger,to encircle,V
singgaw,singgaw,"catch, capture, grab nab, kidnap, snatch, seize",V
siñggér,siñggér,"near, come near",V
singíl,singíl,"to collect, retrieve, get back",V
siñgíl,siñgíl,to collect a debt,V
siñgín,siñgín,twin,ADJ
siñgít,siñgít,notch at upper end of pillars or posts,NOUN
síngit,síngit,"groin, wedge, in-between",NOUN
singkat,singkat,"grab, catch, capture",V
siñgkát,siñgkát,to catch with both hands ,V
singkaw,singkaw,saddle,NOUN
singkit,singkit,"slit-eyed, chinese-eyed",ADJ
síñgko,síñgko,five,NUM
siñgléw,siñgléw,"care, heed, feel inclined",NOUN
singlot,singlot,sound emanating from the nostrils due to colds,NOUN
síñgob,síñgob,"detect, smell, discover",V
singsing,singsing,ring,NOUN
sinílas,sinílas,slippers,NOUN
sinimba,sinimba,weekly,ADV
sinít,sinít,"scorch, singe, burn inflame",V
sínitan,sínitan,ignite,V
sinmian,sinmian,"get away, distance one's self, secede",V
sinmoner,sinmoner,"retreat, withdraw",V
sinmulming,sinmulming,"originate, begin, to give rise to",ADJ
sinóp,sinóp,"tidy up, fix, clean up",V
sínopen,sínopen,"collect, fix up, clean up",V
sinséro,sinséro,sincere,ADJ
sinsil,sinsil,"to break with a chisel and hammer, chip",V
sinsílyo,sinsílyo,"coins, small change",NOUN
sínta,sínta,hitch an animal,V
sinti,sinti,sensitivity,NOUN
sinyal,sinyal,signal,NOUN
siodot,siodot,"anger, annoyance, displeasure",NOUN
sióktoñg,sióktoñg,dark colored alcoholic drink,NOUN
siomai,siomai,"siomai, chinese delicacy",NOUN
siopa,siopá,who,PRON
siopá,siopá,who,PRON
siopamán,siopamán,whoever,PRON
siopáman,opá,"anybody, anyone",PRON
siopao,siopao,"siopao, kind of steamed flour bread",NOUN
sípa,sípa,"to go off the road, deviate",V
sipág,sipág,bump,V
sipáksipák,sipáksipák,dashing of waves against the shore,NOUN
sipán,sipán,"promise, pledge, assurance, oath",NOUN
sipánan,sipánan,"engagement, contract agreement",NOUN
sipáñgol,sipáñgol,to knock the back of one's head with an open hand,V
sipát,sipát,to aim at something thrown up or flying in the air,V
sipdot,sipdot,"pluck, peel",V
sipég,sipég,"bump, jostle, hit, jar, knock",V
sipí,sipí,to break twigs or branches off a tree with the hand,V
sipílyo,sipílyo,toothbrush,NOUN
siping,sípiñg,side,NOUN
sipíñg,sipíñg,twin,ADJ
sipit,sipit,"tong, tweezer, pincers, to be caught in-between",NOUN
sípit,sípit,"pincers, tongs",NOUN
siplak,siplak,to smash with a swatter,V
siplat,siplat,"whip, stroke",NOUN
siplog,siplog,"blow, rush, flow, whiff, wisp",V
sipod,sipod,"previous, usual, preceding, customary, ordinary",ADJ
sipól,sipól,"to be joined, connect",V
sípol,sípol,"crane, bird",NOUN
sipor,sipor,"usual, ordinary",ADJ
sípor,sípor,since,ADP
sipót,sipót,to remove sticky food from plate or container with the fingers,V
sipsip,sipsip,"double dealer, squealer, sycophant, suck",ADJ
sipsíp,sipsíp,"to pluck off feathers, cut grass close to ground",V
sipuák,sipuák,splash,V
sira,síra,"fish, meat",NOUN
sirá,sirá,"fish, viand, menu",NOUN
síra,síra,"to be cracked, split objects",V
sirák,sirák,to throw out phlegm,V
siráyew,siráyew,pride,NOUN
sirég,sirég,"skin inflammation, swelling of a part of the body",NOUN
sirena,sirena,mermaid,NOUN
sirin,sirín,"therefore, then",ADV
sírin,sírin,"surely, then",ADV
siring,siring,birthmark,NOUN
sirísa,sirísa,local cherry fruit,NOUN
sírit,sírit,urine,NOUN
sirítan,sirítan,place where people or animals piss or urinate,NOUN
sirko,sirko,sommersault,V
sirkós,sirkós,circus,NOUN
sirkus,sirkus,circus,NOUN
sirlem,sirlem,"dark, gloom",NOUN
sirók,sirók,spoon,NOUN
siróm,siróm,"shed, shelter from the sun, shade, shadow",NOUN
siróman,siróman,"resting area, harbour",NOUN
siroñgét,siroñgét,"to be dark, nightfall",V
sirúm,sirúm,"shade, shelter",NOUN
sisia,sisia,"belief, faith",NOUN
sísia,sísia,belief,NOUN
sisít,sisít,dwarf,NOUN
síso,síso,see-saw,NOUN
sistéma,sistéma,"system, way",NOUN
sitá,sitá,"look into, investigate",V
sítmat,sítmat,"many, different kinds",ADJ
sitotúlok,sitotúlok,insisting,V
sitsaró,sitsaró,green beans,NOUN
sitsit,sitsit,"call, hail, hiss, cry out, yell",V
sitsít,sitsít,"drain the rice water, rice broth",V
situasión,situasión,situation,NOUN
siudád,siudád,city,NOUN
siudut,siudut,"anger, ire",NOUN
siwaklat,siwaklat,"to scatter, mess up",V
siwál,siwál,tossing and turning in one's sleep,V
siwáñg,siwáñg,"crack, space between",NOUN
siwsíw,siwsíw,chick,NOUN
so,so,the,DET
sobó,sobó,to put something in an opening,V
sóbok,sóbok,"to test, try, prove for oneself",V
soból,soból,"flowing stream, waterfall",NOUN
sodsór,sorsór,carpenter’s plane,NOUN
sogál,sogál,"game of chance, gambling",NOUN
sogsóg,sogsóg,"induce one to decide, suggest",V
sokáb,sokáb,grains that get between bottom of pot and banana leaf lining,NOUN
sókal,sókal,to do something for the first time,V
sokék,sokék,"innermost part, bottom",NOUN
sokláy,sokláy,to turn something upside down or vice versa,V
sokóñg,sokóñg,turban,NOUN
sokótsokót,sokótsokót,sickness ,NOUN
soksók,soksók,to sheathe bolo or knife,V
solá,solá,the first fruit or offspring,NOUN
solámbi,solámbi,coquette,NOUN
solár,solár,small piece of land,NOUN
soldóñg,soldóñg,"join, connect, add, enlarge",V
solíab,solíab,"to repair, esp. repair or replace damaged nipa thatch",V
solicitúd,solicitúd,application forms,NOUN
solíñg,solíñg,perplexed,ADJ
solíñgsolíñg,solíñg,"go confused, have difficulty in determining one’s whereabouts",V
solók,solók,excess,NOUN
solóñg,solóñg,to wear,V
sóloñg,sóloñg,"to go ahead, put into effect",V
solót,solót,to wear clothes,V
somário,somário,summary,NOUN
sombrÉro,sombrÉro,hat,NOUN
sompál,sompál,"to finish, accomplish",V
